time ring_ave arc_ave slit_ave monomer_ave ring_std arc_std slit_std monomer_std
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000111e-01 0.000000000000000000e+00 9.023749999999998161e-01 0.000000000000000000e+00 9.762999999999999456e-02 0.000000000000000000e+00 9.566131663321382483e-03 0.000000000000000000e+00 9.573249187188223944e-03
4.000000000000000222e-01 0.000000000000000000e+00 9.631800000000000361e-01 0.000000000000000000e+00 3.680000000000000632e-02 0.000000000000000000e+00 6.646773653435171340e-03 0.000000000000000000e+00 6.640933669296810588e-03
6.000000000000000888e-01 0.000000000000000000e+00 9.781250000000000222e-01 0.000000000000000000e+00 2.189500000000000127e-02 0.000000000000000000e+00 4.912827597219363192e-03 0.000000000000000000e+00 4.910241847404259695e-03
8.000000000000000444e-01 0.000000000000000000e+00 9.851350000000003160e-01 0.000000000000000000e+00 1.488500000000000066e-02 0.000000000000000000e+00 4.456935606445311046e-03 0.000000000000000000e+00 4.454691347332607326e-03
1.000000000000000000e+00 0.000000000000000000e+00 9.888200000000001433e-01 0.000000000000000000e+00 1.118500000000000050e-02 0.000000000000000000e+00 3.286274486405541331e-03 0.000000000000000000e+00 3.259643385402765693e-03
2.000000000000000000e+00 6.930000000000000396e-03 9.871149999999999647e-01 0.000000000000000000e+00 5.945000000000000631e-03 1.787850944570044259e-02 1.853365250024937086e-02 0.000000000000000000e+00 2.381905749604715239e-03
4.000000000000000000e+00 5.562999999999999889e-02 9.389399999999999968e-01 0.000000000000000000e+00 5.439999999999999523e-03 3.719178807210000298e-02 3.747790549110235903e-02 0.000000000000000000e+00 3.294601645115840388e-03
6.000000000000000888e+00 7.937500000000000111e-02 9.160599999999998744e-01 0.000000000000000000e+00 4.580000000000000737e-03 5.163445434010124901e-02 5.157481362060362812e-02 0.000000000000000000e+00 2.452672012316363566e-03
8.000000000000000000e+00 1.151249999999999635e-01 8.791250000000001563e-01 0.000000000000000000e+00 5.765000000000001026e-03 5.339772350016431385e-02 5.402480795893678522e-02 0.000000000000000000e+00 2.836771933025282987e-03
1.000000000000000000e+01 1.502499999999999947e-01 8.444350000000000467e-01 0.000000000000000000e+00 5.320000000000000076e-03 6.855058351319849586e-02 6.751396355569712349e-02 0.000000000000000000e+00 2.172694180044674236e-03
2.000000000000000000e+01 2.874349999999999961e-01 7.074949999999999850e-01 0.000000000000000000e+00 5.065000000000000925e-03 9.121924289863404811e-02 9.066822196889051666e-02 0.000000000000000000e+00 1.933203300224784794e-03
4.000000000000000000e+01 4.018800000000000705e-01 5.937550000000000328e-01 0.000000000000000000e+00 4.374999999999999549e-03 9.119552401296897315e-02 9.202561314655828550e-02 0.000000000000000000e+00 2.922648627529488355e-03
6.000000000000000711e+01 4.128100000000000103e-01 5.829500000000000792e-01 0.000000000000000000e+00 4.250000000000000305e-03 8.998285892324160706e-02 8.907890603279769448e-02 0.000000000000000000e+00 2.329484921608208307e-03
8.000000000000000000e+01 4.444449999999999790e-01 5.517349999999999755e-01 0.000000000000000000e+00 3.795000000000000630e-03 8.140559854825711594e-02 8.063973136736010683e-02 0.000000000000000000e+00 1.613218832024967617e-03
1.000000000000000142e+02 4.469500000000000139e-01 5.493300000000000960e-01 0.000000000000000000e+00 3.749999999999999861e-03 1.107636650711775611e-01 1.108127614492121632e-01 0.000000000000000000e+00 1.976739740077079407e-03
1.200000000000000142e+02 4.216949999999999865e-01 5.743199999999999417e-01 0.000000000000000000e+00 3.999999999999999216e-03 8.283270172462080250e-02 8.265231152242506762e-02 0.000000000000000000e+00 2.222386105068154070e-03
1.500000000000000000e+02 4.843099999999999072e-01 5.124399999999998956e-01 0.000000000000000000e+00 3.250000000000000284e-03 8.451477326479672758e-02 8.447170768961639875e-02 0.000000000000000000e+00 1.943321898193914885e-03
2.000000000000000284e+02 5.112449999999999495e-01 4.844350000000000600e-01 0.000000000000000000e+00 4.319999999999999188e-03 8.026912529111052130e-02 8.039860244432113501e-02 0.000000000000000000e+00 2.460609680546673155e-03
2.500000000000000284e+02 4.304950000000000720e-01 5.653050000000000574e-01 0.000000000000000000e+00 4.179999999999999688e-03 1.059756456691819254e-01 1.057500518912402321e-01 0.000000000000000000e+00 2.631653472628947988e-03
3.000000000000000000e+02 4.631300000000000416e-01 5.316149999999999487e-01 0.000000000000000000e+00 5.250000000000000326e-03 6.176784843265951952e-02 6.230890205259597553e-02 0.000000000000000000e+00 2.227891379757998992e-03
4.000000000000000568e+02 4.921950000000000491e-01 5.038250000000000783e-01 0.000000000000000000e+00 4.004999999999999880e-03 1.110504321243281078e-01 1.102108428195701512e-01 0.000000000000000000e+00 2.125435249543019666e-03
4.500000000000000568e+02 4.747499999999999498e-01 5.212550000000001349e-01 0.000000000000000000e+00 4.004999999999999880e-03 6.740026335260122792e-02 6.797500625229835336e-02 0.000000000000000000e+00 2.161822148096369245e-03
5.000000000000000568e+02 4.859499999999999931e-01 5.100700000000000234e-01 0.000000000000000000e+00 4.009999999999999676e-03 9.678272314829751422e-02 9.723932897752843307e-02 0.000000000000000000e+00 2.754977313881186701e-03
