time ring_ave arc_ave slit_ave unpolymerized_ave ring_std arc_std slit_std unpolymerized_std
5.000000000000000000e-01 3.044999999999999929e-01 4.545000000000000151e-01 4.499999999999999660e-03 4.000000000000000083e-03 7.290000000000000646e-02 9.869999999999999607e-02 1.200000000000000025e-02 4.899999999999999842e-03
1.000000000000000000e+00 0.000000000000000000e+00 6.790000000000000480e-01 2.255000000000000060e-01 9.650000000000000244e-02 0.000000000000000000e+00 4.469999999999999668e-02 4.819999999999999979e-02 1.060000000000000005e-02
1.199999999999999956e+00 1.500000000000000031e-03 5.524999999999999911e-01 3.865000000000000102e-01 6.099999999999999867e-02 6.499999999999999702e-03 4.979999999999999705e-02 4.950000000000000233e-02 9.900000000000000813e-03
1.400000000000000133e+00 1.750000000000000167e-02 3.895000000000000129e-01 5.504999999999999893e-01 4.200000000000000261e-02 1.870000000000000134e-02 6.339999999999999802e-02 5.999999999999999778e-02 9.799999999999999684e-03
3.000000000000000000e+00 9.750000000000000333e-02 1.549999999999999989e-01 7.279999999999999805e-01 1.650000000000000078e-02 4.880000000000000310e-02 3.610000000000000014e-02 6.569999999999999452e-02 4.799999999999999580e-03
5.500000000000000000e+00 1.260000000000000009e-01 1.214999999999999969e-01 7.465000000000000524e-01 8.500000000000000611e-03 4.359999999999999987e-02 3.200000000000000067e-02 4.760000000000000342e-02 4.799999999999999580e-03
8.000000000000000000e+00 1.409999999999999865e-01 8.699999999999999400e-02 7.654999999999999583e-01 3.500000000000000073e-03 6.019999999999999657e-02 3.540000000000000091e-02 6.049999999999999822e-02 4.799999999999999580e-03
1.050000000000000000e+01 1.645000000000000073e-01 8.250000000000000389e-02 7.479999999999999982e-01 2.500000000000000052e-03 5.990000000000000185e-02 3.209999999999999659e-02 5.840000000000000052e-02 4.300000000000000003e-03
1.300000000000000000e+01 1.829999999999999960e-01 7.349999999999999589e-02 7.409999999999999920e-01 1.500000000000000031e-03 5.129999999999999838e-02 3.570000000000000256e-02 4.760000000000000342e-02 3.599999999999999901e-03
1.550000000000000000e+01 2.020000000000000129e-01 5.500000000000000028e-02 7.425000000000000488e-01 0.000000000000000000e+00 5.630000000000000282e-02 2.330000000000000127e-02 5.009999999999999870e-02 0.000000000000000000e+00
1.800000000000000000e+01 2.195000000000000007e-01 6.650000000000000355e-02 7.089999999999999636e-01 5.000000000000000104e-04 4.590000000000000330e-02 3.289999999999999869e-02 5.670000000000000040e-02 2.200000000000000133e-03
2.050000000000000000e+01 2.149999999999999967e-01 5.349999999999999895e-02 7.309999999999999831e-01 0.000000000000000000e+00 4.859999999999999737e-02 3.729999999999999982e-02 4.970000000000000112e-02 0.000000000000000000e+00
2.300000000000000000e+01 2.379999999999999893e-01 5.000000000000000278e-02 7.079999999999999627e-01 5.000000000000000104e-04 6.850000000000000533e-02 2.970000000000000070e-02 5.650000000000000161e-02 2.200000000000000133e-03
2.800000000000000000e+01 2.525000000000000022e-01 5.199999999999999761e-02 6.935000000000000053e-01 0.000000000000000000e+00 5.269999999999999685e-02 4.030000000000000249e-02 6.600000000000000311e-02 0.000000000000000000e+00
3.300000000000000000e+01 2.780000000000000249e-01 3.450000000000000289e-02 6.864999999999999991e-01 0.000000000000000000e+00 6.339999999999999802e-02 2.479999999999999913e-02 6.189999999999999669e-02 0.000000000000000000e+00
3.800000000000000000e+01 2.914999999999999813e-01 3.950000000000000039e-02 6.690000000000000391e-01 0.000000000000000000e+00 6.569999999999999452e-02 2.920000000000000026e-02 5.850000000000000339e-02 0.000000000000000000e+00
4.300000000000000000e+01 3.049999999999999933e-01 3.699999999999999817e-02 6.564999999999999725e-01 0.000000000000000000e+00 4.619999999999999801e-02 3.769999999999999740e-02 5.890000000000000097e-02 0.000000000000000000e+00
4.800000000000000000e+01 3.130000000000000004e-01 4.150000000000000216e-02 6.480000000000000204e-01 0.000000000000000000e+00 7.009999999999999565e-02 3.200000000000000067e-02 7.620000000000000384e-02 0.000000000000000000e+00
