#nmol eps area std
200 3.5 0.0228 0.0181
200 4.0 0.0161 0.0039
200 4.5 0.0187 0.0032
200 5.0 0.0268 0.0097
200 5.5 0.0406 0.0109
200 6.0 0.0472 0.0086
400 3.5 0.0370 0.0039
400 4.0 0.0384 0.0057
400 4.5 0.0421 0.0082
400 5.0 0.0547 0.0060
400 5.5 0.0771 0.0138
400 6.0 0.1034 0.0187
600 3.5 0.0614 0.0064
600 4.0 0.0655 0.0069
600 4.5 0.0709 0.0073
600 5.0 0.0883 0.0074
600 5.5 0.1175 0.0124
600 6.0 0.1491 0.0131
800 3.5 0.0810 0.0069
800 4.0 0.0858 0.0059
800 4.5 0.0952 0.0080
800 5.0 0.1133 0.0125
800 5.5 0.1454 0.0145
800 6.0 0.1865 0.0135
1000 3.5 0.1009 0.0090
1000 4.0 0.1157 0.0106
1000 4.5 0.1292 0.0108
1000 5.0 0.1494 0.0140
1000 5.5 0.1769 0.0149
1000 6.0 0.2109 0.0156
1200 3.5 0.1418 0.0114
1200 4.0 0.1753 0.0283
1200 4.5 0.2289 0.0300
1200 5.0 0.2629 0.0234
1200 5.5 0.3006 0.0295
1200 6.0 0.3338 0.0325
1400 3.5 0.1900 0.0135
1400 4.0 0.2316 0.0175
1400 4.5 0.2988 0.0325
1400 5.0 0.3303 0.0269
1400 5.5 0.3610 0.0298
1400 6.0 0.3609 0.0244
