#nmol eps expel
200 3.5 0.0000
200 4.0 0.0000
200 4.5 0.0000
200 5.0 0.0004
200 5.5 0.0008
200 6.0 0.0007
400 3.5 0.0000
400 4.0 0.0001
400 4.5 0.0001
400 5.0 0.0000
400 5.5 0.0068
400 6.0 0.0377
600 3.5 0.0002
600 4.0 0.0002
600 4.5 0.0000
600 5.0 0.0000
600 5.5 0.0016
600 6.0 0.0084
800 3.5 0.0000
800 4.0 0.0003
800 4.5 0.0001
800 5.0 0.0004
800 5.5 0.0046
800 6.0 0.0169
1000 3.5 0.0003
1000 4.0 0.0006
1000 4.5 0.0012
1000 5.0 0.0068
1000 5.5 0.0120
1000 6.0 0.0217
1200 3.5 0.0007
1200 4.0 0.0013
1200 4.5 0.0092
1200 5.0 0.0318
1200 5.5 0.0349
1200 6.0 0.0396
1400 3.5 0.0030
1400 4.0 0.0134
1400 4.5 0.0561
1400 5.0 0.0744
1400 5.5 0.0729
1400 6.0 0.0618
