#nmol eps area std
200 3.5 0.0299 0.0379
200 4.0 0.0153 0.0034
200 4.5 0.0154 0.0036
200 5.0 0.0156 0.0038
200 5.5 0.0154 0.0076
200 6.0 0.0138 0.0040
400 3.5 0.0958 0.1212
400 4.0 0.0726 0.0802
400 4.5 0.0486 0.0103
400 5.0 0.0500 0.0252
400 5.5 0.0479 0.0121
400 6.0 0.0448 0.0152
600 3.5 0.0633 0.0118
600 4.0 0.0656 0.0085
600 4.5 0.0646 0.0071
600 5.0 0.0619 0.0078
600 5.5 0.0662 0.0082
600 6.0 0.0630 0.0066
800 3.5 0.2530 0.1735
800 4.0 0.3131 0.1927
800 4.5 0.2347 0.1737
800 5.0 0.2237 0.1795
800 5.5 0.3229 0.1961
800 6.0 0.1849 0.1252
1000 3.5 0.1962 0.0572
1000 4.0 0.1653 0.0155
1000 4.5 0.1575 0.0145
1000 5.0 0.1533 0.0112
1000 5.5 0.1506 0.0113
1000 6.0 0.1545 0.0446
1200 3.5 0.3057 0.0842
1200 4.0 0.2433 0.0165
1200 4.5 0.2326 0.0224
1200 5.0 0.2227 0.0171
1200 5.5 0.2143 0.0134
1200 6.0 0.2102 0.0146
1400 3.5 0.6551 0.1338
1400 4.0 0.5092 0.1839
1400 4.5 0.3786 0.1193
1400 5.0 0.3178 0.0638
1400 5.5 0.2875 0.0227
1400 6.0 0.2903 0.0362
