#nmol eps expel
200 3.5 0.0000
200 4.0 0.0000
200 4.5 0.0000
200 5.0 0.0000
200 5.5 0.0000
200 6.0 0.0000
400 3.5 0.0000
400 4.0 0.0000
400 4.5 0.0000
400 5.0 0.0000
400 5.5 0.0000
400 6.0 0.0000
600 3.5 0.0000
600 4.0 0.0000
600 4.5 0.0000
600 5.0 0.0000
600 5.5 0.0000
600 6.0 0.0000
800 3.5 0.0013
800 4.0 0.0008
800 4.5 0.0001
800 5.0 0.0002
800 5.5 0.0000
800 6.0 0.0006
1000 3.5 0.0001
1000 4.0 0.0000
1000 4.5 0.0000
1000 5.0 0.0000
1000 5.5 0.0000
1000 6.0 0.0000
1200 3.5 0.0000
1200 4.0 0.0000
1200 4.5 0.0000
1200 5.0 0.0000
1200 5.5 0.0000
1200 6.0 0.0000
1400 3.5 0.0009
1400 4.0 0.0030
1400 4.5 0.0015
1400 5.0 0.0001
1400 5.5 0.0000
1400 6.0 0.0000
