# MolID	Frame0	Frame1	Frame2	Frame3	Frame4	Frame5	Frame6	Frame7	Frame8	Frame9	Frame10	Frame11	Frame12	Frame13	Frame14
1	1	4	4	4	4	4	4	4	4	4	3	4	4	4	3
2	1	4	4	4	4	4	4	4	4	4	3	4	4	4	3
3	1	4	3	4	4	4	4	4	4	4	3	4	4	4	3
4	1	4	3	4	4	4	4	4	4	4	1	4	4	4	3
5	1	3	4	3	4	4	4	3	4	3	3	4	4	4	3
6	1	1	4	3	4	4	4	3	4	3	3	4	4	4	3
7	1	1	4	3	4	4	4	3	4	3	3	4	4	4	3
8	1	3	4	3	4	4	4	3	4	3	3	4	4	4	3
9	1	3	4	3	4	4	4	3	4	3	3	4	4	4	3
10	1	4	4	3	3	4	4	4	4	4	3	4	4	4	3
11	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
12	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
13	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
14	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
15	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
16	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
17	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
18	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
19	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
20	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
21	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
22	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
23	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
24	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
25	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
26	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
27	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
28	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
29	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
30	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
31	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
32	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
33	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
34	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
35	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
36	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
37	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
38	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
39	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
40	1	4	4	3	3	4	4	4	4	4	3	4	4	4	3
41	1	4	4	3	3	4	4	4	4	4	3	4	4	4	3
42	1	4	4	3	1	4	4	4	4	4	3	4	4	4	3
43	1	4	4	3	3	4	4	4	4	4	3	4	4	4	3
44	1	4	4	3	3	4	4	4	4	4	3	4	4	4	3
45	1	4	4	3	3	4	4	4	4	4	3	4	4	4	3
46	1	4	4	3	3	4	4	4	4	4	3	4	4	4	3
47	1	4	4	3	3	4	4	4	4	4	3	4	4	4	3
48	1	4	4	4	4	4	1	4	3	3	4	3	4	3	3
49	1	4	4	4	4	4	3	4	3	3	4	3	4	3	3
50	1	4	4	3	3	4	4	4	4	4	3	4	4	4	3
51	1	3	4	3	4	4	4	3	4	3	3	4	4	4	3
52	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
53	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
54	1	4	4	4	4	4	4	4	4	4	3	4	4	4	3
55	1	4	4	4	4	4	4	4	4	4	3	4	4	4	3
56	1	4	4	4	4	4	4	4	4	4	3	4	4	4	3
57	1	4	4	4	4	4	4	4	4	4	3	4	4	4	3
58	1	4	1	4	4	4	4	4	4	4	3	4	4	4	3
59	1	4	3	4	4	4	4	4	4	4	1	4	4	4	3
60	1	4	1	4	4	4	4	4	4	4	1	4	4	4	3
61	1	4	4	4	4	4	1	4	1	3	4	3	4	3	3
62	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
63	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
64	1	4	4	4	4	4	3	4	3	3	4	3	4	3	3
65	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
66	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
67	1	4	4	4	4	4	3	4	3	3	4	3	4	3	3
68	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
69	1	4	4	4	4	4	4	4	4	4	3	4	4	4	3
70	1	4	4	4	4	4	4	4	4	4	3	4	4	4	3
71	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
72	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3
73	1	4	4	4	4	4	1	4	3	3	4	3	4	3	1
74	1	4	4	4	4	4	4	4	4	4	4	4	4	4	1
75	1	4	4	4	3	4	3	4	4	4	4	2	4	3	2
76	1	4	4	4	4	4	4	4	4	4	4	2	4	3	2
77	1	4	4	4	4	4	4	4	4	4	4	2	4	3	2
78	1	4	4	4	3	4	3	4	4	4	4	2	4	3	2
79	1	4	4	4	4	4	4	4	4	4	4	2	4	3	2
80	1	4	4	4	4	4	4	4	4	4	4	2	4	3	2
81	1	4	4	4	3	4	3	4	4	4	4	2	4	3	2
82	1	4	4	4	3	4	3	4	4	4	4	2	4	3	2
83	1	4	4	4	3	4	3	4	4	4	4	2	4	3	2
84	1	4	4	4	4	4	4	4	4	4	4	2	4	3	2
85	1	4	4	4	3	4	3	4	4	4	4	2	4	3	2
86	1	1	4	4	4	4	4	4	4	4	4	2	4	3	2
87	1	4	4	4	4	4	4	4	4	4	4	2	4	3	2
88	1	4	4	4	1	4	3	4	4	4	4	2	4	3	2
89	1	4	4	4	4	4	4	4	4	4	4	2	4	3	2
90	1	1	4	4	4	4	4	4	4	4	4	2	4	3	2
91	1	4	4	4	1	4	3	4	4	4	4	2	4	3	2
92	1	4	4	4	4	4	4	4	4	4	4	2	4	3	2
93	1	4	4	4	3	4	3	4	4	4	4	2	4	3	2
94	1	4	4	4	3	4	3	4	4	4	4	2	4	3	2
95	1	4	4	4	4	4	4	4	4	4	4	2	4	3	2
96	1	4	4	4	3	4	3	4	4	4	4	2	4	3	2
97	1	4	4	4	4	4	4	4	4	4	4	2	4	3	2
98	1	4	4	4	4	4	4	4	4	4	4	2	4	3	2
99	1	4	4	4	3	4	3	4	4	4	4	2	4	3	2
100	1	4	4	4	3	4	3	4	4	4	4	2	4	3	2
101	1	4	4	4	4	4	4	4	4	4	4	2	4	3	2
102	1	4	3	4	4	4	4	4	4	4	4	4	4	3	2
103	1	4	3	4	4	4	4	4	4	4	4	4	4	3	2
104	1	3	2	4	2	4	4	4	2	2	4	4	2	3	2
105	1	4	2	4	2	4	4	4	2	2	4	4	2	3	2
106	1	4	2	4	2	4	4	4	2	2	4	4	2	3	2
107	1	4	2	4	2	4	4	4	2	2	4	4	2	3	2
108	1	4	2	4	2	4	4	4	2	2	4	4	2	3	2
109	1	4	2	4	2	4	4	4	2	2	4	4	2	3	2
110	1	4	3	4	4	4	4	4	4	4	4	4	4	3	2
111	1	4	3	4	4	4	4	4	4	4	4	4	4	3	2
112	1	3	2	4	2	4	4	4	2	2	4	4	2	3	2
113	1	4	3	4	4	4	4	4	4	4	4	4	4	3	2
114	1	4	2	4	2	4	4	4	2	2	4	4	2	3	2
115	1	4	2	4	2	4	4	4	2	2	4	4	2	3	2
116	1	3	2	4	2	4	4	4	2	2	4	4	2	3	2
117	1	4	3	4	4	4	4	4	4	4	4	4	4	3	2
118	1	4	2	4	2	4	4	4	2	2	4	4	2	3	2
119	1	4	2	4	2	4	4	4	2	2	4	4	2	3	2
120	1	4	3	4	4	4	4	4	4	4	4	4	4	3	2
121	1	4	2	4	2	4	4	4	2	2	4	4	2	3	2
122	1	4	2	4	2	4	4	4	2	2	4	4	2	3	2
123	1	3	2	4	2	4	4	4	2	2	4	4	2	3	2
124	1	3	2	4	2	4	4	4	2	2	4	4	2	3	2
125	1	4	3	4	4	4	4	4	4	4	4	4	4	3	2
126	3	4	3	4	4	4	4	4	4	4	4	4	4	3	2
127	1	3	2	4	2	4	4	4	2	2	4	4	2	3	2
128	1	4	2	4	2	4	4	4	2	2	4	4	2	3	2
129	1	3	2	4	2	4	4	4	2	2	4	4	2	3	2
130	1	1	2	4	2	4	4	4	2	2	4	4	2	3	2
131	1	4	2	4	2	4	4	4	2	2	4	4	2	3	2
132	1	4	3	4	4	4	4	4	4	4	4	4	4	3	2
133	1	4	3	4	3	4	4	4	4	2	4	2	2	4	2
134	1	4	4	4	3	4	4	4	4	2	4	2	2	4	2
135	1	4	4	4	3	4	4	4	4	2	4	2	2	4	2
136	1	4	4	4	3	4	4	4	4	2	4	2	2	4	2
137	1	3	1	4	3	4	4	4	4	2	4	2	2	4	2
138	1	4	4	4	3	4	4	4	4	2	4	2	2	4	2
139	1	4	4	4	3	4	4	4	4	2	4	2	2	4	2
140	1	4	4	4	3	4	4	4	4	2	4	2	2	4	2
141	1	4	4	4	3	4	4	4	4	2	4	2	2	4	2
142	1	4	3	4	3	4	4	4	4	2	4	2	2	4	2
143	1	4	4	4	3	4	4	4	4	2	4	2	2	4	2
144	1	4	4	4	3	4	4	4	4	2	4	2	2	4	2
145	1	3	3	4	3	4	4	4	4	2	4	2	2	4	2
146	1	3	3	4	3	4	4	4	4	2	4	2	2	4	2
147	1	4	4	4	3	4	4	4	4	2	4	2	2	4	2
148	1	4	4	4	3	4	4	4	4	2	4	2	2	4	2
