MolID	1	2	3	4	5	6	7	8	9	10	11	12	13	14
67	nan	0.673100	0.654380	0.770510	0.644900	0.785040	0.619490	0.895110	0.801140	0.805270	0.708080	0.818970	0.870650	nan	nan
4	nan	0.673100	0.654380	0.770510	0.644900	0.785040	0.619490	0.895110	0.801140	0.805270	0.708080	0.818970	0.870650	nan	nan
485	nan	0.645960	0.573340	0.572960	0.373090	0.627070	0.544690	0.462200	0.516490	0.635010	0.549220	0.586630	0.452030	nan	nan
195	nan	0.645960	0.573340	0.572960	0.373090	0.627070	0.544690	0.462200	0.516490	0.635010	0.549220	0.586630	0.452030	nan	nan
359	nan	nan	0.573340	0.572960	0.373090	0.627070	0.544690	0.462200	0.516490	0.635010	0.549220	0.586630	0.452030	nan	nan
360	nan	0.645960	0.573340	0.572960	0.373090	0.627070	0.544690	0.462200	0.516490	0.635010	0.549220	0.586630	0.452030	nan	nan
622	nan	0.645960	0.573340	0.572960	0.373090	0.627070	0.544690	0.462200	0.516490	0.635010	0.549220	0.586630	0.452030	nan	nan
399	nan	0.645960	0.573340	0.572960	0.373090	0.627070	0.544690	0.462200	0.516490	0.635010	0.549220	0.586630	0.452030	nan	nan
369	nan	0.673100	0.654380	0.770510	0.644900	0.785040	0.619490	0.895110	0.801140	0.805270	0.708080	0.818970	0.870650	nan	nan
309	nan	nan	0.654380	0.770510	0.644900	0.785040	0.619490	0.895110	0.801140	0.805270	0.708080	0.818970	0.870650	nan	nan
375	nan	nan	0.573340	0.572960	0.373090	0.627070	0.544690	0.462200	0.516490	0.635010	0.549220	0.586630	0.452030	nan	nan
794	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.870650	nan	nan
732	nan	nan	0.573340	0.572960	0.373090	0.627070	0.544690	0.462200	0.516490	0.635010	0.549220	0.586630	0.452030	nan	nan
222	nan	nan	0.654380	0.770510	0.644900	0.785040	0.619490	0.895110	0.801140	0.805270	0.708080	0.818970	0.870650	nan	nan
