#nmol eps percentage
200.0000 3.5000 0.2060
200.0000 4.0000 0.1044
200.0000 4.5000 0.0863
200.0000 5.0000 0.0875
200.0000 5.5000 0.0949
200.0000 6.0000 0.0736
400.0000 3.5000 0.0974
400.0000 4.0000 0.0671
400.0000 4.5000 0.0533
400.0000 5.0000 0.0590
400.0000 5.5000 0.0502
400.0000 6.0000 0.0425
600.0000 3.5000 0.1182
600.0000 4.0000 0.0810
600.0000 4.5000 0.0555
600.0000 5.0000 0.0731
600.0000 5.5000 0.0540
600.0000 6.0000 0.0515
800.0000 3.5000 0.2990
800.0000 4.0000 0.2622
800.0000 4.5000 0.2144
800.0000 5.0000 0.1213
800.0000 5.5000 0.1907
800.0000 6.0000 0.0850
1000.0000 3.5000 0.2349
1000.0000 4.0000 0.1022
1000.0000 4.5000 0.0615
1000.0000 5.0000 0.0321
1000.0000 5.5000 0.0243
1000.0000 6.0000 0.0281
1200.0000 3.5000 0.3340
1200.0000 4.0000 0.1665
1200.0000 4.5000 0.0983
1200.0000 5.0000 0.0614
1200.0000 5.5000 0.0501
1200.0000 6.0000 0.0455
1400.0000 3.5000 0.7882
1400.0000 4.0000 0.6137
1400.0000 4.5000 0.4578
1400.0000 5.0000 0.3551
1400.0000 5.5000 0.2575
1400.0000 6.0000 0.2768
