#nmol eps percentage
200.0000 3.5000 0.0231
200.0000 4.0000 0.0773
200.0000 4.5000 0.1051
200.0000 5.0000 0.1131
200.0000 5.5000 0.1404
200.0000 6.0000 0.1593
400.0000 3.5000 0.0709
400.0000 4.0000 0.1425
400.0000 4.5000 0.1807
400.0000 5.0000 0.1908
400.0000 5.5000 0.2344
400.0000 6.0000 0.2636
600.0000 3.5000 0.0851
600.0000 4.0000 0.1673
600.0000 4.5000 0.2241
600.0000 5.0000 0.2660
600.0000 5.5000 0.3457
600.0000 6.0000 0.3589
800.0000 3.5000 0.0984
800.0000 4.0000 0.1716
800.0000 4.5000 0.2581
800.0000 5.0000 0.3181
800.0000 5.5000 0.3587
800.0000 6.0000 0.4082
1000.0000 3.5000 0.1253
1000.0000 4.0000 0.2740
1000.0000 4.5000 0.3637
1000.0000 5.0000 0.4424
1000.0000 5.5000 0.4798
1000.0000 6.0000 0.5146
1200.0000 3.5000 0.1445
1200.0000 4.0000 0.3068
1200.0000 4.5000 0.4312
1200.0000 5.0000 0.5032
1200.0000 5.5000 0.5470
1200.0000 6.0000 0.5870
1400.0000 3.5000 0.0549
1400.0000 4.0000 0.1649
1400.0000 4.5000 0.3155
1400.0000 5.0000 0.4176
1400.0000 5.5000 0.5325
1400.0000 6.0000 0.5363
