#nmol eps percentage
200.0000 3.5000 0.7710
200.0000 4.0000 0.8182
200.0000 4.5000 0.8086
200.0000 5.0000 0.7994
200.0000 5.5000 0.7648
200.0000 6.0000 0.7672
400.0000 3.5000 0.8317
400.0000 4.0000 0.7904
400.0000 4.5000 0.7659
400.0000 5.0000 0.7502
400.0000 5.5000 0.7154
400.0000 6.0000 0.6939
600.0000 3.5000 0.7967
600.0000 4.0000 0.7518
600.0000 4.5000 0.7204
600.0000 5.0000 0.6609
600.0000 5.5000 0.6003
600.0000 6.0000 0.5896
800.0000 3.5000 0.6027
800.0000 4.0000 0.5663
800.0000 4.5000 0.5275
800.0000 5.0000 0.5606
800.0000 5.5000 0.4506
800.0000 6.0000 0.5068
1000.0000 3.5000 0.6398
1000.0000 4.0000 0.6238
1000.0000 4.5000 0.5747
1000.0000 5.0000 0.5255
1000.0000 5.5000 0.4958
1000.0000 6.0000 0.4573
1200.0000 3.5000 0.5215
1200.0000 4.0000 0.5267
1200.0000 4.5000 0.4704
1200.0000 5.0000 0.4354
1200.0000 5.5000 0.4029
1200.0000 6.0000 0.3675
1400.0000 3.5000 0.1569
1400.0000 4.0000 0.2213
1400.0000 4.5000 0.2267
1400.0000 5.0000 0.2273
1400.0000 5.5000 0.2100
1400.0000 6.0000 0.1869
