#nmol eps percentage
200.0000 3.5000 0.3583
200.0000 4.0000 0.2455
200.0000 4.5000 0.2041
200.0000 5.0000 0.2000
200.0000 5.5000 0.1157
200.0000 6.0000 0.0575
400.0000 3.5000 0.2665
400.0000 4.0000 0.1741
400.0000 4.5000 0.1462
400.0000 5.0000 0.0983
400.0000 5.5000 0.0618
400.0000 6.0000 0.0463
600.0000 3.5000 0.2788
600.0000 4.0000 0.1690
600.0000 4.5000 0.1122
600.0000 5.0000 0.0683
600.0000 5.5000 0.0486
600.0000 6.0000 0.0327
800.0000 3.5000 0.2572
800.0000 4.0000 0.1395
800.0000 4.5000 0.0946
800.0000 5.0000 0.0628
800.0000 5.5000 0.0506
800.0000 6.0000 0.0516
1000.0000 3.5000 0.2383
1000.0000 4.0000 0.1395
1000.0000 4.5000 0.1097
1000.0000 5.0000 0.1029
1000.0000 5.5000 0.0870
1000.0000 6.0000 0.1017
1200.0000 3.5000 0.3120
1200.0000 4.0000 0.1774
1200.0000 4.5000 0.1974
1200.0000 5.0000 0.2139
1200.0000 5.5000 0.2229
1200.0000 6.0000 0.2109
1400.0000 3.5000 0.5567
1400.0000 4.0000 0.5115
1400.0000 4.5000 0.5460
1400.0000 5.0000 0.4339
1400.0000 5.5000 0.4215
1400.0000 6.0000 0.4330
