#nmol eps percentage
200.0000 3.5000 0.0537
200.0000 4.0000 0.1023
200.0000 4.5000 0.1464
200.0000 5.0000 0.3915
200.0000 5.5000 0.7119
200.0000 6.0000 0.8110
400.0000 3.5000 0.0725
400.0000 4.0000 0.1602
400.0000 4.5000 0.2346
400.0000 5.0000 0.4172
400.0000 5.5000 0.6973
400.0000 6.0000 0.8302
600.0000 3.5000 0.0824
600.0000 4.0000 0.1803
600.0000 4.5000 0.2887
600.0000 5.0000 0.4729
600.0000 5.5000 0.6990
600.0000 6.0000 0.8434
800.0000 3.5000 0.0914
800.0000 4.0000 0.1916
800.0000 4.5000 0.3110
800.0000 5.0000 0.4850
800.0000 5.5000 0.6768
800.0000 6.0000 0.8160
1000.0000 3.5000 0.0930
1000.0000 4.0000 0.2334
1000.0000 4.5000 0.3612
1000.0000 5.0000 0.5130
1000.0000 5.5000 0.6925
1000.0000 6.0000 0.7889
1200.0000 3.5000 0.0948
1200.0000 4.0000 0.2853
1200.0000 4.5000 0.4139
1200.0000 5.0000 0.5369
1200.0000 5.5000 0.6173
1200.0000 6.0000 0.6809
1400.0000 3.5000 0.0991
1400.0000 4.0000 0.2131
1400.0000 4.5000 0.2806
1400.0000 5.0000 0.4202
1400.0000 5.5000 0.4779
1400.0000 6.0000 0.4796
