#nmol eps percentage
200.0000 3.5000 0.5881
200.0000 4.0000 0.6522
200.0000 4.5000 0.6495
200.0000 5.0000 0.4085
200.0000 5.5000 0.1725
200.0000 6.0000 0.1315
400.0000 3.5000 0.6611
400.0000 4.0000 0.6657
400.0000 4.5000 0.6192
400.0000 5.0000 0.4844
400.0000 5.5000 0.2409
400.0000 6.0000 0.1235
600.0000 3.5000 0.6387
600.0000 4.0000 0.6507
600.0000 4.5000 0.5991
600.0000 5.0000 0.4589
600.0000 5.5000 0.2523
600.0000 6.0000 0.1239
800.0000 3.5000 0.6514
800.0000 4.0000 0.6689
800.0000 4.5000 0.5944
800.0000 5.0000 0.4521
800.0000 5.5000 0.2726
800.0000 6.0000 0.1324
1000.0000 3.5000 0.6687
1000.0000 4.0000 0.6270
1000.0000 4.5000 0.5291
1000.0000 5.0000 0.3842
1000.0000 5.5000 0.2204
1000.0000 6.0000 0.1093
1200.0000 3.5000 0.5932
1200.0000 4.0000 0.5373
1200.0000 4.5000 0.3887
1200.0000 5.0000 0.2492
1200.0000 5.5000 0.1598
1200.0000 6.0000 0.1082
1400.0000 3.5000 0.3442
1400.0000 4.0000 0.2754
1400.0000 4.5000 0.1734
1400.0000 5.0000 0.1459
1400.0000 5.5000 0.1006
1400.0000 6.0000 0.0874
